platform,source_id,source_title,content,like_count,ctime,ctime_str,member_level,reply_count,page,user_name,comment_id,keyword,cleaned_content,sentiment,score,positive_hits,negative_hits,confidence,intensity,method,reason
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,风没见到，雨也没见到，不知道在怕啥？三人成虎,4,1783817691,2026-07-12 08:54:51,6,0,1,魏森那马蒙帅,305769143409,台风巴威登陆,风没见到，雨也没见到，不知道在怕啥？三人成虎,negative,-0.6,[],[],0.85,strong,hybrid,反问讽刺，批评过度恐慌
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,我觉得真是奇怪，一切如常，难道不应该庆幸吗，背后有多少人做了防备工作。多少人彻夜值守。,101,1783814922,2026-07-12 08:08:42,5,10,1,hhhhwawo,305766009953,台风巴威登陆,我觉得真是奇怪，一切如常，难道不应该庆幸吗，背后有多少人做了防备工作。多少人彻夜值守。,positive,0.7,[],['rhetorical'],0.85,strong,hybrid,肯定防备工作，表达庆幸
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,非要这样去拍吗，玉环、温岭一带年年都有台风，导演都不带改剧本的看着都疲劳,1,1783830432,2026-07-12 12:27:12,4,0,1,东海老怪,305790805169,台风巴威登陆,非要这样去拍吗，玉环、温岭一带年年都有台风，导演都不带改剧本的看着都疲劳,negative,-0.5,[],[],0.85,moderate,hybrid,批评报道重复，表达厌倦
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,还得是桑美[doge],71,1783806589,2026-07-12 05:49:49,5,5,1,尤偌丶,308955069616,台风巴威登陆,还得是桑美[doge],neutral,0.0,[],[],0.85,weak,hybrid,提及历史台风，无明确情感
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,浙江同胞都平安就好。希望沒有大災難,1,1783867823,2026-07-12 22:50:23,6,0,1,塔罗练习生,305866297521,台风巴威登陆,浙江同胞都平安就好。希望沒有大災難,positive,0.8,['希望'],[],0.85,strong,hybrid,表达祝福和关心，积极期待
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,现在看纯台风，反而没那么可怕了，反而是广西那种台风加暴雨！！洪水的更可怕！！[大哭][大哭][大哭][大哭][大哭],8,1783824720,2026-07-12 10:52:00,6,0,1,模型剧场-手办大电影,305779429153,台风巴威登陆,现在看纯台风，反而没那么可怕了，反而是广西那种台风加暴雨！！洪水的更可怕！！[大哭][大哭][大哭][大哭][大哭],negative,-0.87,['可怕'],['可怕'],0.95,strong,rule,
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,看到台风眼过玉环的记者报道了，好神奇，好安静。,82,1783785173,2026-07-11 23:52:53,5,9,1,左右hello,305742931569,台风巴威登陆,看到台风眼过玉环的记者报道了，好神奇，好安静。,positive,0.6,[],[],0.85,strong,hybrid,描述神奇体验，略带正面
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,我仙人，我这还是比较平静的，我听说巴威不会来到我们西安，但是有可能会发生雨（大雨）,0,1783920220,2026-07-13 13:23:40,3,0,1,Migdvsohe,305930711489,台风巴威登陆,我仙人，我这还是比较平静的，我听说巴威不会来到我们西安，但是有可能会发生雨（大雨）,neutral,0.0,[],[],0.85,weak,hybrid,客观陈述天气情况
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,如果台风天在外头的话，尽量不要张嘴了，走着你可能吃到一个飞来的树叶[doge]蟑螂也有可能,69,1783786076,2026-07-12 00:07:56,6,6,1,小希露菲耳朵嫩嫩的,305744535313,台风巴威登陆,如果台风天在外头的话，尽量不要张嘴了，走着你可能吃到一个飞来的树叶[doge]蟑螂也有可能,neutral,0.0,[],[],0.85,weak,hybrid,幽默提醒，无情感倾向
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,第一吹JB 网红台风……登陆之前强度已经降低了，还是有很多媒体夸大其词的博流量，真恶心,0,1783831490,2026-07-12 12:44:50,6,0,1,德累斯顿我来了,308988473728,台风巴威登陆,第一吹JB网红台风……登陆之前强度已经降低了，还是有很多媒体夸大其词的博流量，真恶心,negative,-0.9,[],['恶心'],0.85,strong,hybrid,强烈批评媒体夸大，表达厌恶
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,台州现在快递正常了吗？不知道买的东西什么时候发货[笑哭],0,1783902573,2026-07-13 08:29:33,5,0,1,潮八岁酷九岁,309099068304,台风巴威登陆,台州现在快递正常了吗？不知道买的东西什么时候发货[笑哭],neutral,0.0,[],[],0.85,weak,hybrid,纯询问快递状态
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,[doge],9,1783806996,2026-07-12 05:56:36,5,1,1,尤偌丶,308955162384,台风巴威登陆,[doge],neutral,0.0,[],[],0.85,weak,hybrid,仅表情，无法判断
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,有个5级风 不得了了 。。。。。。装的风雨那么大 ，旁边的树枝都不动一下 。还是搞新闻的有本事,0,1783838743,2026-07-12 14:45:43,6,0,1,道德高于法律,305806498993,台风巴威登陆,有个5级风不得了了。。。。。。装的风雨那么大，旁边的树枝都不动一下。还是搞新闻的有本事,negative,-0.7,[],[],0.85,strong,hybrid,讽刺媒体夸大报道
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,记者口条真好，这样还能听清再说什么,42,1783786207,2026-07-12 00:10:07,6,5,1,一姿小乌鸦,305744770753,台风巴威登陆,记者口条真好，这样还能听清再说什么,positive,0.5,[],['真好'],0.85,moderate,hybrid,表扬记者表达能力
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,难得关注玉环的时候[doge]希望大家11月来我们这尝尝微酸微甜的大文旦[doge],23,1783786761,2026-07-12 00:19:21,3,1,1,罗尔德伊万诺夫,308938738864,台风巴威登陆,难得关注玉环的时候[doge]希望大家11月来我们这尝尝微酸微甜的大文旦[doge],negative,-0.53,[],['doge_sarcasm'],0.9,moderate,rule,
bilibili,BV13oNw66E6t,【巴威台风】台风登陆浙江台州！浙江台记者直面登陆全过程！狂风暴雨接踵而至！雨像刀片打在记者脸上！,台风照样得出去,9,1783817992,2026-07-12 08:59:52,6,1,1,奥创AC,308963831872,台风巴威登陆,台风照样得出去,neutral,0.0,[],[],0.85,weak,hybrid,客观陈述，无情感
