platform,source_id,source_title,content,like_count,ctime,ctime_str,member_level,reply_count,page,user_name,comment_id,keyword
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,有些人在网上一直嚷嚷什么“网红台风”，真是灾难不降到你头上只会幸灾乐祸啊，这次真是不幸中的万幸，台风在登陆前可以减弱，防台工作在来之前已经准备就绪，可以把这次的损失降到最小是最好的结局了[热],49,1783908311,2026-07-13 10:05:11,6,3,1,bili_11654378,305907725553,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,刚在别的视频下面看到一网友评论，台风过来的时候还嘲笑这台风不过如此，今天早晨物业打电话说他车被吹倒的树砸了，特倒霉，全小区就他的车中招了。,67,1783866625,2026-07-12 22:30:25,6,5,1,YY很2,305863705681,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,有些视频都说夸大夸大，我就很愤怒，虚惊一场不好吗，媒体宣传有多少夸大，天文气象本身就存在不确定性，谁能预测到台风登陆前不久有干空气削弱。提前几天准备抗台本来就是必须的事情。10号预测路线就是我这沿海渔村，06年桑美，13年菲特那会基建也好，预测系统也罢都远不及现在规模，给我县城及所属镇，乡尤其是沿海几个渔村造成难以估量打击。难不成真要想那两次死百来号人，才能对得浙江内地以及内陆的大吐口水[生气][生气][生气][生气][生气][生气]纯纯愚蠢思维,3,1783904239,2026-07-13 08:57:19,6,4,1,大蓝莓酒,305901768929,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,媒体和营销还是太强了，一个劲地传这台风超强，浙江要完了，搞得去是灭世级一样的。我住浙西南，登陆时顶多刮了一小会风和小阵雨，台风到头顶上时也只是毛毛雨，到12号下午就停了，这影响还比不上这里普通下雨[蔚蓝档案静态_战斗模式],5,1783927924,2026-07-13 15:32:04,5,0,1,SCoRZz,309145810640,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,沈阳今天停工停学了，公交车也停了 到处都是水泡车,21,1783908062,2026-07-13 10:01:02,6,1,1,猫猫饼干,305907399681,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,北方淹了[笑哭][笑哭]，没在浙江下雨，跑到京津冀下雨了，隔山打牛了[笑哭][笑哭],14,1783874555,2026-07-13 00:42:35,5,2,1,楚杉梦悠,305879710961,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,还是挺惨烈的,52,1783849438,2026-07-12 17:43:58,6,12,1,我是砖石大,305825294945,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,开头好像我家,1,1783908692,2026-07-13 10:11:32,6,0,1,蔓延sl,305908308049,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,如果有一次能自由选择自己生活的城市，那有什么地方环境又好，经济又不错，还不会受到大型的自然灾害呢[辣眼睛],6,1783909510,2026-07-13 10:25:10,6,10,1,雷深渊法师,309109652112,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,正面经过芜湖南京，压根没啥感觉，就下了点雨，我怀疑这是台风吗？,1,1783911389,2026-07-13 10:56:29,5,0,1,bili_86958378100,305913074929,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,浙江温州,4,1783907617,2026-07-13 09:53:37,6,0,1,风都Memory-2K,305906602641,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,从小到大最温柔的台风,2,1783899232,2026-07-13 07:33:52,5,0,1,好多好多好多福福福,309095711360,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,捧杀有懂的吗[doge],1,1783908943,2026-07-13 10:15:43,6,0,1,维包子是种信仰,305908881953,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,嘉善也没事！[doge],0,1783946927,2026-07-13 20:48:47,6,0,1,你皮任你皮丨,305983432833,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,[藏狐],19,1783837425,2026-07-12 14:23:45,5,1,1,要不要吃土豆丝,309000371456,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,人在绍兴，今天睡醒发现路面是干的，出门甚至没什么风，这台风刮了个寂寞,9,1783867313,2026-07-12 22:41:53,6,1,1,-弥央,305865250225,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,我喜欢吃孜然小土豆[doge],0,1783881610,2026-07-13 02:40:10,6,1,1,bichonbear,305887972145,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,现在台州的快递正常吗,1,1783902077,2026-07-13 08:21:17,5,1,1,潮八岁酷九岁,309098528496,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,原来10号的时候觉得在温州登陆的话，对苏南应该没啥影响，11号上午发现路径走的偏北了，下午又偏西了，然后中气爱说登陆后会偏北，原来苏南不在暴雨区这次会在暴雨区，结果这次暴雨区也没对。12号下午开窗午睡，我2点不到被热醒，外面温度从29升到31，且一度出太阳。 登陆区做好防护我认为是必要的，就当在家睡一天,1,1783876026,2026-07-13 01:07:06,5,0,1,c0_0c,305882174657,台风巴威登陆
bilibili,BV1ijNM6wEpb,【台风巴威登陆前后对比】拍摄于7月12日 巴威离开浙江，进入内陆,杭州西湖区一点感觉都没有,0,1783908062,2026-07-13 10:01:02,6,0,2,死亡比利,305907273585,台风巴威登陆
